DATE,milk,hay,corn,beef
1995-07-01,2.477,146.5,127.309562683105,76.6125030517578
1995-08-01,2.482,134.5,126.297080993652,78.5326080322266
1995-09-01,2.459,163.4,130.51301574707,81.5
1995-10-01,2.473,174.9,140.816360473633,84.5795440673828
1995-11-01,2.493,159.4,143.21223449707,88.988639831543
1995-12-01,2.518,162.4,148.188522338867,87.434211730957
1996-01-01,2.546,165.5,156.67073059082,86.2619018554688
1996-02-01,2.541,155.0,164.71223449707,83.0526351928711
1996-03-01,2.539,154.5,170.961151123047,79.3194427490234
1996-04-01,2.537,162.1,189.03303527832,81.5
1996-05-01,2.532,167.9,203.998931884766,81.3125
1996-06-01,2.599,165.5,196.639312744141,77.0
1996-07-01,2.649,167.2,197.619995117188,77.6818161010742
1996-08-01,2.666,166.6,186.820068359375,80.2272720336914
1996-09-01,2.666,180.1,145.239181518555,78.6750030517578
1996-10-01,2.73,195.7,128.608795166016,81.4239120483398
1996-11-01,2.746,195.7,117.136840820313,82.1705856323242
1996-12-01,2.727,193.9,116.835014343262,83.0124969482422
1997-01-01,2.677,204.9,118.695167541504,81.4772720336914
1997-02-01,2.632,204.9,121.746200561523,85.3289489746094
1997-03-01,2.632,204.9,127.860580444336,93.3625030517578
1997-04-01,2.606,219.7,124.712875366211,90.988639831543
1997-05-01,2.608,218.3,118.610809326172,86.5
1997-06-01,2.587,212.1,112.58137512207,80.1071395874023
1997-07-01,2.557,195.5,106.420722961426,81.7272720336914
1997-08-01,2.551,195.5,111.951019287109,82.8214263916016
1997-09-01,2.533,195.5,112.236907958984,80.4702377319336
1997-10-01,2.635,201.1,120.244216918945,79.7173919677734
1997-11-01,2.678,199.2,117.404762268066,83.2361145019531
1997-12-01,2.672,195.5,113.604362487793,84.2840881347656
1998-01-01,2.632,193.7,114.367256164551,82.8690490722656
1998-02-01,2.653,195.5,113.61873626709,82.0875015258789
1998-03-01,2.658,191.8,113.840438842773,81.6818161010742
1998-04-01,2.668,193.7,106.687858581543,81.7375030517578
1998-05-01,2.666,199.2,105.966926574707,80.4000015258789
1998-06-01,2.622,178.0,101.751693725586,77.4772720336914
1998-07-01,2.628,172.3,100.904479980469,75.9375
1998-08-01,2.717,166.9,88.3582077026367,76.1190490722656
1998-09-01,2.757,164.4,85.7144470214844,75.0476226806641
1998-10-01,2.785,162.5,95.494758605957,74.2619018554688
1998-11-01,2.8,156.8,97.3845291137695,75.5735321044922
1998-12-01,2.859,150.2,95.3247604370117,76.3472213745117
1999-01-01,2.94,150.2,97.4518737792969,77.5999984741211
1999-02-01,3.004,151.3,94.5640047227443,81.825
1999-03-01,3.003,152.0,96.4264500776398,81.5
1999-04-01,2.707,157.9,94.0384785289116,79.1111111111111
1999-05-01,2.716,176.5,92.7170656696428,79.85
1999-06-01,2.704,156.8,92.9470118303571,79.9347826086957
1999-07-01,2.706,151.3,83.5984030357143,81.595380952381
1999-08-01,2.719,150.3,86.3819147321428,88.3295454545455
1999-09-01,2.794,142.6,87.1209208758503,86.4772727272727
1999-10-01,2.964,140.2,85.6504712053571,84.6428571428571
1999-11-01,2.981,142.6,85.4093406300459,87.93125
